Downloaded from: https://gender-pay-gap.service.gov.uk/,,,,,,,,,,,,,,,,,,,,,,,,
Correct as of: 9th February 2020,,,,,,,,,,,,,,,,,,,,,,,,
EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,CompanyLinkToGPGInfo,ResponsiblePerson,EmployerSize,CurrentName,SubmittedAfterTheDeadline,DueDate,DateSubmitted
Devon Partnership Nhs Trust,"Dryden Road,
Exeter,
Devon,
United Kingdom,
EX2 5AF",,"1,
86210",15.7,11.5,12,-0.9,69,31,23.4,76.6,23.5,76.5,26.7,73.3,37,63,https://www.dpt.nhs.uk/resources/corporate-information/equality-diversity-and-inclusion/gender-pay-gap-reports,None,1000 to 4999,Devon Partnership Nhs Trust,FALSE,31/03/2020 00:00,31/10/2019 13:59
DHAMECHA FOODS LIMITED,"2 Hathaway Close,
Stanmore,
Middlesex,
HA7 3NR",1163739,"46342,
46390",5.5,0,15.6,48.7,5.5,3.3,80.3,19.7,71.3,28.7,75.2,24.8,75.6,24.4,http://www.dhamecha.com,Fayaaz Shariff (Finance Director),500 to 999,DHAMECHA FOODS LIMITED,FALSE,05/04/2020 00:00,10/01/2020 16:24
DHL PARCEL UK LIMITED,"120 Buckingham Avenue,
Slough,
SL1 4LZ",965783,"53201,
53202",-0.2,0,11,24.8,8.1,9.3,76.8,23.2,75.4,24.6,75.4,24.6,76.9,23.1,https://www.dhlparcel.co.uk/en/business-users/about-us/governance/gender-pay-gap.html,Peter Fuller (CEO),1000 to 4999,DHL PARCEL UK LIMITED,FALSE,05/04/2020 00:00,09/10/2019 09:03
DIAGEO GREAT BRITAIN LIMITED,"Lakeside Drive,
Park Royal,
London,
London,
NW10 7HQ",507652,"11010,
11070,
46342,
70100",-3.8,-14.8,21.1,-4.4,86.4,86.2,65.3,34.7,55.3,44.7,49,51,52.6,47.4,https://www.diageo.com/PR1346/aws/media/10347/2019_diageo_gender_pay_report_final.pdf,Mairéad Nayager (Chief HR Officer),1000 to 4999,DIAGEO GREAT BRITAIN LIMITED,FALSE,05/04/2020 00:00,10/12/2019 10:59
DIAGEO SCOTLAND LIMITED,"Edinburgh Park,
5 Lochside Way,
Edinburgh,
EH12 9DT",SC000750,11010,7.6,16.4,31.5,38.2,37.1,63.7,57.7,42.3,64.5,35.5,73.8,26.2,78.1,21.9,https://www.diageo.com/PR1346/aws/media/10347/2019_diageo_gender_pay_report_final.pdf,Mairéad Nayager (Chief HR Officer),1000 to 4999,DIAGEO SCOTLAND LIMITED,FALSE,05/04/2020 00:00,10/12/2019 11:06
DIESEL (LONDON) LIMITED,"55 Argyle Street,
London,
WC1H 8EE",3005257,"46420,
47710,
47721",0.2,-3.4,13.4,21.6,71.7,74.3,56.6,43.4,58.4,41.6,53.2,46.8,46.8,53.2,,Fernando Destefanis (Europe HR Director),250 to 499,DIESEL (LONDON) LIMITED,FALSE,05/04/2020 00:00,17/12/2019 17:16
Discovery Schools Academies Trust Ltd,"Kibworth Cofe Primary School Hillcrest Avenue,
Kibworth,
Leicester,
England,
LE8 0NH",8104111,"1,
85200",25.1,39.2,nan,,0,0,5.1,94.9,5.1,94.9,16.3,83.7,19.4,80.6,https://www.discoveryschoolstrust.org.uk/trust-information/statutory-reporting-and-policy.html,Paul Stone (CEO),500 to 999,DISCOVERY SCHOOLS ACADEMIES TRUST LTD,FALSE,31/03/2020 00:00,23/10/2019 13:04
DOMINO'S PIZZA UK & IRELAND LIMITED,"1 Thornbury,
West Ashland,
Milton Keynes,
Buckinghamshire,
MK6 4BB",2882515,96090,-5.8,-17.3,-7.5,-2.7,87.7,88.8,86,14,78,22,76,24,68,32,,Nadine Wyncoll (People Director),500 to 999,DOMINO'S PIZZA UK & IRELAND LIMITED,FALSE,05/04/2020 00:00,06/02/2020 15:35
DON & LOW LIMITED,"Newfordpark House,
Glamis Road,
Forfar,
Angus,
DD8 1FR",SC005657,13960,13.7,8.3,41,0,96,95,59,41,70,30,92,8,87,13,https://www.donlow.co.uk/gb/en/gender-pay-gap-information/,Vassilis Zairopoulos (Chairman),250 to 499,DON & LOW LIMITED,FALSE,05/04/2020 00:00,19/12/2019 09:14
DONE BROTHERS (CASH BETTING) LIMITED,"The Spectrum,
56-58 Benson Road Birchwood,
Warrington,
Cheshire,
WA3 7PQ",1277703,92000,7.9,3.6,56,25,51,44,42,58,38,62,52,48,55,45,http://www.betfredcorporate.com/gender-pay-reporting/,Nicola Barr (CFO),"5000 to 19,999",DONE BROTHERS (CASH BETTING) LIMITED,FALSE,05/04/2020 00:00,24/01/2020 10:52
DORIANA LIMITED,"92 Powys Lane,
Palmers Green,
London,
N13 4HR",7268087,56102,-4.7,-21.3,26.3,49.1,3.9,4,58.6,41.4,47.8,52.2,37.7,62.3,40.6,59.4,,Oriana Doritou (Director),250 to 499,DORIANA LIMITED,FALSE,05/04/2020 00:00,03/02/2020 14:11
Dorset County Hospital Nhs Foundation Trust,"Dorset County Hospital,
Williams Avenue,
Dorchester,
DT1 2J",,"1,
86210",29.1,10.7,23.2,66.7,0.6,0.5,22.4,77.6,16.7,83.3,14.6,85.4,34.6,65.4,https://www.dchft.nhs.uk/about/equality-diversity/Documents/2019%20Gender%20Pay%20Gap%20Report%20for%20Trust%20Board%20July%202019.pdf#search=gender%20pay%20gap,None,1000 to 4999,Dorset County Hospital Nhs Foundation Trust,FALSE,31/03/2020 00:00,06/01/2020 12:13
DUNSTER HOUSE LIMITED,"Dunster House,
Caxton Road,
Bedford,
Bedfordshire,
MK41 0LF",2913901,"29203,
32990,
47990",5.5,5.1,-15,-16.1,37.7,14.9,64.7,35.3,78.4,21.6,68.6,31.4,80.4,19.6,,MALGORZATA KACZMAREK (FINANCE DIRECTOR),250 to 499,DUNSTER HOUSE LIMITED,FALSE,05/04/2020 00:00,17/09/2019 15:41
DYER AND BUTLER LIMITED,"Abel Smith House,
Gunnels Wood Road,
Stevenage,
Hertfordshire,
England,
SG1 2ST",1450372,42990,55.9,62.2,-20,-40,80,76,58,42,89,11,93,7,97,3,https://www.dyerandbutler.co.uk/Dyer%20%20Butler%20Pay%20Gap%202018.pdf,Warren Dipper (HR Manager),500 to 999,DYER AND BUTLER LIMITED,FALSE,05/04/2020 00:00,19/11/2019 14:24
DYNEX SEMICONDUCTOR LIMITED,"Doddington Road,
Lincoln,
Lincolnshire,
LN6 3LF",3824626,26110,33,37,100,100,0.4,0,48,52,49,51,78,22,86,14,https://www.dynexsemi.com/,Su Bailey (HR Director),250 to 499,DYNEX SEMICONDUCTOR LIMITED,FALSE,05/04/2020 00:00,05/04/2019 11:32
E. C. M. (VEHICLE DELIVERY SERVICE) LIMITED,"The Airport,
Carlisle,
Cumbria,
CA6 4NW",1845919,49410,34.9,36.4,91.7,97.5,94.9,74.1,75.3,24.7,100,0,100,0,99.4,0.6,http://www.ecmvds.co.uk/,Allen Stuart (Company Secretary),500 to 999,E. C. M. (VEHICLE DELIVERY SERVICE) LIMITED,FALSE,05/04/2020 00:00,04/09/2019 12:11
E.C.G. Building Maintenance Ltd.,"11 First Road,
Blantyre Industrial Estate,
Blantyre,
Glasgow,
G72 0ND",SC147376,41201,20.5,24.9,34.6,8.4,10.6,10,71.1,28.9,75.9,24.1,95.2,4.8,95.2,4.8,http://ecg-facilities.com/wp-content/uploads/2018/04/ecgfs_gender-pay-gap_2017.pdf,Stephen Hawthorne (Director),250 to 499,E.C.G. BUILDING MAINTENANCE LTD.,FALSE,05/04/2020 00:00,09/04/2019 12:28
E.ON UK PLC,"Westwood Way,
Westwood Business Park,
Coventry,
CV4 8LG",2366970,"35110,
64209",10.6,16.7,29,-19.2,77,99,52.9,47.1,53.6,46.4,71.5,28.5,65,35,https://www.eonenergy.com/about-us/maintaining-standards/key-reports.html,Chris Norbury (HR Director),"5000 to 19,999",E.ON UK PLC,FALSE,05/04/2020 00:00,31/01/2020 11:03
EAST ANGLIA'S CHILDRENS HOSPICES,"42 High Street,
Milton,
Cambridge,
Cambridgeshire,
CB24 6DF",3550187,86900,2.2,-8.9,nan,,0,0,22.4,77.6,10.3,89.7,13.9,86.1,18.3,81.7,,Hannah Burling (HR Director),250 to 499,EAST ANGLIA'S CHILDRENS HOSPICES,FALSE,05/04/2020 00:00,26/07/2019 10:52
East Midlands Academy Trust,"Bridge House Bridge Street,
Olney,
Bucks, United Kingdom,
MK46 4AB",,"1,
85310",27.5,52.3,52.3,-45.6,9,10.8,8,92,13,87,23,77,30,70,https://www.eastmidlandsacademytrust.co.uk/491/key-information-and-policies/category/20/financial-information,None,500 to 999,East Midlands Academy Trust,FALSE,31/03/2020 00:00,15/08/2019 15:17
East Midlands Ambulance Service Education & Development Centre,"1 Horizon Place,
Mellors Way,,
Nottingham,
NG8 6PY",,"1,
86210",5.5,0.6,nan,,0,0,46.4,53.6,52.3,47.7,51.7,48.3,60.6,39.4,https://www.emas.nhs.uk,None,1000 to 4999,East Midlands Ambulance Service Education & Development Centre,FALSE,31/03/2020 00:00,30/01/2020 09:50
EAST OF ENGLAND CO-OPERATIVE SOCIETY LIMITED,,IP01099R,,18.3,3.2,nan,,0,0,25.3,74.7,32.8,67.2,33,67,51.1,48.9,https://www.eastofengland.coop/about-us/our-co-op-today/gender-pay-reporting,John Hawkins (Chair – Remuneration & Search Committee),1000 to 4999,EAST OF ENGLAND CO-OPERATIVE SOCIETY LIMITED,FALSE,05/04/2020 00:00,10/10/2019 10:54
East Riding College,"St. Marys Walk,
Bridlington,
North Humberside,
United Kingdom,
YO16 7JW",,"1,
85320",13,8.9,38.3,43.8,24.4,46.1,14.5,85.5,34.1,65.9,36.5,63.5,40.3,59.7,,None,250 to 499,East Riding College,FALSE,31/03/2020 00:00,16/12/2019 09:29
East Staffordshire Borough Council,"Town Hall,
King Edward Place,
Burton on Trent,
Staffordshire,
DE14 2EB",,"1,
84110",-12.5,1.1,nan,,0,0,37.1,62.9,60,40,33.3,66.7,48.6,51.4,http://www.eaststaffsbc.gov.uk/sites/default/files/docs/opendata/Gender-Pay-Gap-Report.pdf,None,250 to 499,East Staffordshire Borough Council,FALSE,31/03/2020 00:00,06/09/2019 14:05
Eastern Multi-Academy Trust,"Trust Offices,
Queen Mary Road,
King's Lynn,
Norfolk,
England,
PE30 4QG",7338780,"1,
85200,
85310",31,42,nan,,0,0,10,90,8,92,16,84,32,68,https://www.eastern-mat.co.uk/information/gender-pay-gap/,None,500 to 999,EASTERN MULTI-ACADEMY TRUST,FALSE,31/03/2020 00:00,03/12/2019 15:08
Ebor Academy Trust,"Ebor Business And Training Centre The Leyes,
Osbaldwick,
York,
England,
YO10 3PR",8806335,"1,
85200",18.8,22.6,nan,,0,0,20.1,79.9,93.3,6.7,2.4,97.6,14.8,85.2,https://www.eboracademytrust.co.uk/wp-content/uploads/2018/03/GenderPayGap.pdf,None,1000 to 4999,EBOR ACADEMY TRUST,FALSE,31/03/2020 00:00,17/09/2019 09:27
Eden Learning Trust,"Ferryhill Business Enterprise College,
Merrington Road,
Ferryhill,
County Durham,
United Kingdom,
DL17 8RW",10980753,"1,
85310",24.3,61,nan,,0,0,15.2,84.8,24.1,75.9,32.9,67.1,33.3,66.7,https://www.edenlearningtrust.co.uk/site/documents/genderpaygap.pdf,None,250 to 499,EDEN LEARNING TRUST,FALSE,31/03/2020 00:00,02/12/2019 14:44
EDEN PROJECT LIMITED,"Bodelva,
Par,
Cornwall,
PL24 2SG",3278093,"85590,
91040",7,5,nan,,0,0,38,62,43,57,53,47,43,57,https://www.edenproject.com/eden-story/about-us/annual-and-sustainability-reports,Simon Bellamy (Interim Managing Director),500 to 999,EDEN PROJECT LIMITED,FALSE,05/04/2020 00:00,29/01/2020 15:58
EDINBURGH LEISURE,"Vantage Point,,
3 Cultins Road,
Edinburgh,
EH11 4DF",SC179259,"93110,
93130",0.5,1.8,nan,,0,0,46.2,53.8,44.5,55.5,48.3,51.7,55.5,44.5,https://www.edinburghleisure.co.uk/work-with-us,Karen Scott (Director of People),500 to 999,EDINBURGH LEISURE,FALSE,05/04/2020 00:00,02/09/2019 09:01
ELECTRIUM SALES LIMITED,"Faraday House,
Sir William Siemens Square,
Frimley, Camberley,
Surrey,
GU16 8QD",2226729,"27120,
27330",32.5,35.3,65.3,57.6,84.6,93.3,56.3,43.7,42.5,57.5,78.2,21.8,88.8,11.2,https://new.siemens.com/uk/en/company/jobs/life-at-siemens/gender-pay-gap-report.html,Valerie Todd (HR Director),250 to 499,ELECTRIUM SALES LIMITED,FALSE,05/04/2020 00:00,30/01/2020 18:32
ELLE R LEISURE LIMITED,"Lower Basement Office Eastgate,
2 Castle Street,
Manchester,
United Kingdom,
M3 4LZ",890260,"56101,
56302",8.1,0.7,29,-25,60,40,47.3,52.7,43.3,56.7,56.6,43.4,58.6,41.4,,Beth Adams (Finance Director),500 to 999,ELLE R LEISURE LIMITED,FALSE,05/04/2020 00:00,29/01/2020 15:18
EMH CARE AND SUPPORT LIMITED,"02488821 Memorial House, Whitwick Business Park,
Stenson Road,
Coalville,
Leicestershire,
LE67 4JP",2488821,"87200,
88100",2.1,0,100,100,1.6,0,23.4,76.6,20.7,79.3,33.3,66.7,20,80,https://www.emhgroup.org.uk/media/3880/emh-group-gender-pay-gap-report-2019.pdf,Joanne Tilley (Executive Director - Corporate Services),500 to 999,EMH CARE AND SUPPORT LIMITED,FALSE,05/04/2020 00:00,08/11/2019 16:03
EMH HOUSING & REGENERATION LIMITED,,IP032198,,4.6,10.6,0,0,6.5,17.6,38.8,61.2,44,56,72.6,27.4,61.9,38.1,https://www.emhgroup.org.uk/media/3880/emh-group-gender-pay-gap-report-2019.pdf,Joanne Tilley (Executive Director - Corporate Services),250 to 499,EMH HOUSING & REGENERATION LIMITED,FALSE,05/04/2020 00:00,08/11/2019 16:10
ENACT CONVEYANCING LIMITED,"PO BOX Hk3 David House,
David Street,
Leeds,
West Yorkshire,
LS11 5QJ",4702946,74909,7.3,1,49.9,14.8,40.9,53.3,37,63,32,68,33,67,40,60,,Ben Carroll (Managing Director),500 to 999,ENACT CONVEYANCING LIMITED,FALSE,05/04/2020 00:00,31/05/2019 08:44
ENDEAVOUR ACADEMIES TRUST,"Macmillan Academy,
Stockton Road,
Middlesbrough,
TS5 4AG",2236171,85310,20.8,28.6,nan,,0,0,13.7,86.3,26.4,73.6,23.3,76.7,36.1,63.9,http://www.endeavour-academies.org.uk/finance.php,None,250 to 499,ENDEAVOUR ACADEMIES TRUST,FALSE,31/03/2020 00:00,07/02/2020 13:12
Enfield Council,"Silver Street,
Enfield,
Middlesex,
EN1 3EP",,"1,
84110",3.9,-6.1,nan,,0,0,38,62,36,64,32,68,37,63,https://new.enfield.gov.uk/services/your-council/about-equality-and-diversity-in-enfield/#4,None,1000 to 4999,Enfield Council,FALSE,31/03/2020 00:00,07/02/2020 12:58
ENGINEERING 365 RESOURCING LIMITED,"25 Blackpole Business Centre,
Blackpole Road,
Worcester,
Worcestershire,
WR3 8SQ",7476596,78300,-69.5,10.5,nan,,0,0,85.7,14.3,91.9,8.1,98.4,1.6,92.1,7.9,http://www.365resourcing.co.uk,Charlotte Baldock (HR Manager),Less than 250,ENGINEERING 365 RESOURCING LIMITED,FALSE,05/04/2020 00:00,13/12/2019 13:22
Environment Agency,"Horizon House,
Deanery Road,
Bristol,
TA6 4YS",,"1,
84110",1.9,1.2,12.3,8.9,86,87,62.3,37.7,54,46,54.6,45.4,64.1,35.9,https://www.gov.uk/government/publications/environment-agency-pay-gap/environment-agency-pay-gap-2019,None,"5000 to 19,999",Environment Agency,FALSE,31/03/2020 00:00,23/01/2020 13:09
EPI GENESYS LIMITED,"The Innovation Centre,
217 Portobello,
Sheffield,
England,
S1 4DP",6388971,"62012,
62090",16,5.2,29.5,11.5,100,75,75,25,66.7,33.3,75,25,100,0,https://www.epigenesys.org.uk/gender-pay-gap,Christopher Murray (Managing Director),Less than 250,EPI GENESYS LIMITED,FALSE,05/04/2020 00:00,19/01/2020 19:33
EVERY CHILD MATTERS ACADEMY TRUST,"High View Primary Learning Centre Newsome Avenue,
Wombwell,
Barnsley,
South Yorkshire,
United Kingdom,
S73 8QS",9700223,85200,-8.1,-0.1,nan,,0,0,4.1,95.9,2.7,97.3,10.8,89.2,10.8,89.2,https://www.ecmtrust.org,Tim Marsh (Business Director),250 to 499,EVERY CHILD MATTERS ACADEMY TRUST,FALSE,05/04/2020 00:00,10/09/2019 15:39
EVILLE & JONES (G.B.) LIMITED,"Century House 1275 Century Way,
Thorpe Park,
Leeds,
England,
LS15 8ZB",10037065,75000,0,0,nan,,0,0,50,50,50,50,50,50,60,40,,Jason Aldiss (Managing Director),500 to 999,EVILLE & JONES (G.B.) LIMITED,FALSE,05/04/2020 00:00,30/01/2020 08:38
EXCALIBUR ACADEMIES TRUST,"St John's Marlborough,
Granham Hill,
Marlborough,
Wiltshire,
SN8 4AX",8146633,"85200,
85310,
85590",18.4,31.9,nan,,0,0,9.9,90.1,21.3,78.7,21.3,78.7,31.4,68.6,http://excalibur.org.uk/,None,500 to 999,EXCALIBUR ACADEMIES TRUST,FALSE,31/03/2020 00:00,28/01/2020 12:43
EXCEED UMBRELLA LIMITED,"Office 2, 2nd Floor Parsonage Chambers,
3 Parsonage,
Manchester,
England,
M3 2HW",8684204,82990,0.8,-47.8,-56,0.6,69.9,83.1,51.6,48.4,39.8,60.2,29.8,70.2,28.3,71.7,https://exceedoutsourcing.co.uk/gender-pay-gap-report/,Barry Mellor (Director),1000 to 4999,EXCEED UMBRELLA LIMITED,FALSE,05/04/2020 00:00,05/02/2020 10:52
EXPD8 LIMITED,"1 Brunswick Square,
Bristol,
England,
BS2 8PE",4601274,74909,2.5,0,0,0,0.5,0.2,19,81,17,83,17,83,19,81,,Paul Roffey (Group Finance Director),1000 to 4999,EXPD8 LIMITED,FALSE,05/04/2020 00:00,09/07/2019 15:03
Eynsham Partnership Academy,"Bartholomew School Witney Road,
Eynsham,
Witney,
Oxfordshire,
OX29 4AP",7939655,"1,
85310",18.5,37.2,nan,,0,0,10.5,89.5,20.9,79.1,18.6,81.4,27.1,72.9,,None,250 to 499,EYNSHAM PARTNERSHIP ACADEMY,FALSE,31/03/2020 00:00,29/11/2019 15:43
Family Assurance Friendly Society Ltd,"16-17 West Street,
Brighton,
East Sussex,
BN12RL",,65110,18.4,16.3,46.2,17.2,90.5,85.2,44.8,55.2,49.2,50.8,59.7,40.3,60.8,39.2,https://www.onefamily.com/assets/consumer/downloads/company-information/Gender-Pay-Report-2019.pdf,Teddy Nyahasha (CEO),250 to 499,Family Assurance Friendly Society Ltd,FALSE,05/04/2020 00:00,03/02/2020 13:55
Farnborough College of Technology,"Boundary Road,
Farnborough,
Hampshire,
United Kingdom,
GU14 6SB",,"1,
85320",11.3,9.2,-19,34.6,79.8,80.4,18,82,27.7,72.3,36.6,63.4,39.6,60.4,https://www.farn-ct.ac.uk,None,250 to 499,Farnborough College of Technology,FALSE,31/03/2020 00:00,20/12/2019 15:41
FATHER HUDSON'S SOCIETY,"St George's House Gerards Way,
Off Coventry Road,
Coleshill,
Birmingham,
B46 3FG",1653388,"87300,
88100,
88990,
94910",18.3,14.2,nan,,0,0,22.4,77.6,0,100,7.5,92.5,19.4,80.6,https://www.fatherhudsons.org.uk/whoweare/gender-pay-gap-report/62.htm,Noel Stubbs (Financial Controller),250 to 499,FATHER HUDSON'S SOCIETY,FALSE,05/04/2020 00:00,03/09/2019 09:13
FCE BANK PLC,"Fce Bank Plc,
Arterial Road,
Laindon,
Essex,
England,
SS15 6EE",772784,"64910,
64929",13.8,5.6,68.5,20.4,41,41,46.8,53.2,51,49,49.8,50.2,61.8,38.2,https://www.fcebank.com/investor-center.html,"Charles Bilyeu (CEO, FCE BANK PLC)",500 to 999,FCE BANK PLC,FALSE,05/04/2020 00:00,21/01/2020 09:09
FDM GROUP LIMITED,"3rd Floor, Cottons Centre,
Cottons Lane,
London,
SE1 2QG",2542980,"62020,
62090,
78200",1.3,-1.7,2.3,-5,96.3,85.7,71.8,28.2,71.6,28.4,62.4,37.6,71.7,28.3,https://www.fdmgroup.com/wp-content/uploads/Gender-Pay-Gap-Report-2019.pdf,Roderick Flavell (Chief Executive Officer),1000 to 4999,FDM GROUP LIMITED,FALSE,05/04/2020 00:00,16/07/2019 21:26
FEDEX EXPRESS UK LIMITED,"Express House,
Holly Lane,
Atherstone,
CV9 2RY",10748439,"49410,
51210,
52102,
52103",12.4,3.3,39.1,19.4,38.4,47.7,66,34,65,35,68,32,73,27,https://www.fedex.com/en-gb/gender-pay-gap-report.html,Steve Wilkins (MD HR Services UK & Ireland),1000 to 4999,FEDEX EXPRESS UK LIMITED,FALSE,05/04/2020 00:00,04/02/2020 11:01
FEDEX UK LIMITED,"Express House,
Holly Lane,
Atherstone,
CV9 2RY",1541168,49410,8.6,4.8,39.1,19.4,55.6,38.2,76,24,75,25,84,16,90,10,https://www.fedex.com/en-gb/gender-pay-gap-report.html,Steve Wilkins (MD HR Services UK & Ireland),1000 to 4999,FEDEX UK LIMITED,FALSE,05/04/2020 00:00,04/02/2020 11:01
Felsted School,"Felsted,
CM6 3LL",,"85200,
85310",15.5,20.1,100,100,1.1,0,21,79,34,66,28,72,43,57,https://www.felsted.org/,Andrew Clayton (Bursar),500 to 999,Felsted School,FALSE,05/04/2020 00:00,09/01/2020 16:50
FINANCIAL OMBUDSMAN SERVICE LIMITED,"Exchange Tower,
Harbour Exchange Square,
London,
E14 9SR",3725015,94990,6.6,6.8,5.4,0,94.3,93.7,39,61,40,60,50,50,50,50,https://www.financial-ombudsman.org.uk/publications/diversity-inclusion-wellbeing-report-2019-20,Caroline Nugent (HR Director),1000 to 4999,FINANCIAL OMBUDSMAN SERVICE LIMITED,FALSE,05/04/2020 00:00,04/02/2020 13:44
FINANCIAL TIMES LIMITED(THE),"Bracken House,
1 Friday Street,
London,
England,
EC4M 9BT",227590,58130,20.7,18.4,22.6,13.4,89,84,38.3,61.7,48.7,51.3,55.4,44.6,65,35,,John Ridding (CEO),1000 to 4999,FINANCIAL TIMES LIMITED(THE),FALSE,05/04/2020 00:00,24/07/2019 07:00
FINDEL EDUCATION LIMITED,"Church Bridge House,
Henry Street,
Accrington,
United Kingdom,
BB5 4EE",1135827,47910,34.4,34.4,11.9,23.6,5.6,16,24,76,25,75,37.5,62.5,54,46,,Gary McDowell (HR Director),250 to 499,FINDEL EDUCATION LIMITED,FALSE,05/04/2020 00:00,18/07/2019 13:45
FIRST HAMPSHIRE & DORSET LIMITED,"Bus Depot,
Empress Road,
Southampton,
Hampshire,
SO14 0JW",1999120,49319,0.1,0.1,4.6,2.1,5.6,63.5,86.5,13.5,89.1,10.9,85.9,14.1,89.7,10.3,https://www.firstgroupplc.com/gender-pay-gap-report-2018,Jane Reakes Davies (Head of HR),500 to 999,FIRST HAMPSHIRE & DORSET LIMITED,FALSE,05/04/2020 00:00,10/04/2019 18:13
FLAGSHIP HOUSING GROUP LIMITED,,IP031211,,26,18.4,nan,,0,0,34.6,65.4,24.5,75.5,43.9,56.1,60.6,39.4,https://www.flagship-group.co.uk/media/6253/flagship-genderpaygap-2019-v7.pdf,Lisa Collen (Director (People & Workplaces)),250 to 499,FLAGSHIP HOUSING GROUP LIMITED,FALSE,05/04/2020 00:00,07/01/2020 15:45
FLEXY CORPORATION LTD,"800 The Boulevard Capability Green,
Luton,
Bedfordshire,
United Kingdom,
LU1 3BA",9524785,78200,-2.5,4.6,-7.8,0,71.4,28.6,71.4,28.6,50,50,85.7,14.3,66.7,33.3,http://help.flexy.com/en/articles/3208937-gender-pay-gap-report-2019,Anna Christie (Operations Director),250 to 499,FLEXY CORPORATION LTD,FALSE,05/04/2020 00:00,21/08/2019 13:18
FLIGHTCARE LIMITED,"Adminstration Office,
22-32 Flemington Avenue,
Liverpool,
Merseyside,
L4 8UD",2610358,"87100,
87300",-70,0,-25.5,33.6,78.7,85.3,44.8,55.2,0,100,11.8,88.2,13.2,86.8,,Walter Ward (Management Accoutant),250 to 499,FLIGHTCARE LIMITED,FALSE,05/04/2020 00:00,23/08/2019 16:54
FOCUSED CONSULTING LIMITED,"Mansion House,
Manchester Road,
Altrincham,
Cheshire,
England,
WA14 4RW",5261541,82990,10,8,nan,,0,0,44,56,43,57,44,56,47,53,http://focusedumbrella.co.uk/gender-pay-gap-report/,Andrew Cleal (Operations and Service Director),1000 to 4999,FOCUSED CONSULTING LIMITED,FALSE,05/04/2020 00:00,03/09/2019 12:28
FOR UNDER FIVES LIMITED,"33 Abbey Road,
Grimsby,
North East Lincolnshire,
DN32 0HQ",2490035,85100,0.2,2.4,nan,,0,0,2.9,97.1,0,100,1.4,98.6,2.9,97.1,,STEVEN LAMPARD (DIRECTOR),250 to 499,FOR UNDER FIVES LIMITED,FALSE,05/04/2020 00:00,04/06/2019 08:13
FORD & SLATER LIMITED,"Hazel Drive,
Narborough Road South,
Leicester,
LE3 2JG",2495131,"45190,
45200,
45320,
52290",25.3,24.3,64.3,70.4,32.2,19.4,75.9,24.1,75.9,24.1,95.4,4.6,95.4,4.6,https://www.fordandslater.co.uk/about-us/ford-and-slater-gender-pay-gap/,Nigel Strevens (Joint Managing Director),500 to 999,FORD & SLATER LIMITED,FALSE,05/04/2020 00:00,07/01/2020 12:02
Foreign & Commonwealth Office,"King Charles Street,
London,
London,
SW1A 2AH",,"1,
84110",8.3,10.1,9.4,0,49.8,43.6,47.5,52.5,54.4,45.6,59.6,40.4,61.2,38.8,https://www.gov.uk/government/publications/fco-gender-pay-gap-report-and-data-2018-to-2019,None,"5000 to 19,999",Foreign & Commonwealth Office,FALSE,31/03/2020 00:00,23/01/2020 12:08
Forest Heath District Council,"College Heath Road,
Mildenhall, Suffolk,
IP28 7EY",,"1,
84110",-0.8,-5.8,11.8,0,25.9,24,62.4,37.6,43.9,56.1,45.2,54.8,49.2,50.8,,None,500 to 999,Forest Heath District Council,FALSE,31/03/2020 00:00,24/01/2020 15:35
FORMAPLEX LIMITED,"Access Point Northarbour Road,
Cosham,
Portsmouth,
PO6 3TE",4138909,32990,25.7,23.9,-1419,-2300,1,2,80,20,76,24,97,3,97,3,,Angela Tomkins (HR Manager),500 to 999,FORMAPLEX LIMITED,FALSE,05/04/2020 00:00,20/12/2019 15:03
FORWARD 3D LIMITED,"4th Floor 100 Leman Street,
London,
E1 8EU",7717216,62090,26.5,18,21,35,9,7,39,61,48,52,56,44,63,37,,Tim Gladston (Head of People - EMEA),250 to 499,FORWARD 3D LIMITED,FALSE,05/04/2020 00:00,14/01/2020 18:12
FORZA FOODS LIMITED,"IPL,
Unit 1 Foxbridge Way,
Normanton Industrial Estate,
Normanton,
West Yorkshire,
England,
WF6 1TN",7224571,10130,16.4,2.2,67.1,0,85.9,89.6,50,50,41.7,58.3,50,50,69.1,30.9,,Michelle Hand (People Director - IPL & Forza Kober),1000 to 4999,FORZA FOODS LIMITED,FALSE,05/04/2020 00:00,03/02/2020 10:25
FOSTER + PARTNERS GROUP LIMITED,"Riverside Three Albert Wharf,
22 Hester Road,
London,
SW11 4AN",5976343,64209,22.6,8.8,88,24,88,85,59,41,59,41,62,38,78,22,https://www.fosterandpartners.com/news/archive/2019/10/gender-pay-reporting-2019/,Charlotte Sword (Global Head of HR),1000 to 4999,FOSTER + PARTNERS HOLDINGS LIMITED,FALSE,05/04/2020 00:00,04/10/2019 10:32
